title,directions,NER
Hot Spiced Tea,"[""Mix together; makes 2 cups.""]","[""cloves"", ""instant tea"", ""cinnamon"", ""sugar""]"
Easy Spaghetti,"[""Saute onion, garlic and parsley in olive oil until soft; add meat and seasonings."", ""Brown lightly."", ""Blend in remaining ingredients and simmer for approximately 1 hour."", ""Makes 4 to 6 servings.""]","[""spaghetti"", ""oregano"", ""tomato juice"", ""spatini"", ""pepper"", ""tomato paste"", ""brown sugar"", ""onion"", ""worcestershire sauce"", ""clove garlic"", ""parsley"", ""ground beef"", ""olive oil"", ""salt""]"
Cashew Chicken,"[""Cut chicken breast into thumb sized cubes; marinate in a soy sauce/sherry mixture for 4 to 6 hours (overnight is better).""]","[""snow peas"", ""blanched cashews"", ""soy sauce"", ""green pepper"", ""peanut oil"", ""water"", ""powdered ginger"", ""cornstarch"", ""sherry"", ""chicken"", ""pineapple""]"
Corn Casserole,"[""Saute the pepper and onion in the margarine."", ""In large bowl, combine the can of corn with the liquid, the creamed corn, the eggs and the muffin mix."", ""Add the pepper and onion mixture and mix well."", ""Pour into a well-greased 2-quart casserole."", ""Top with the grated cheese."", ""Bake at 350\u00b0 for 55 to 65 minutes.""]","[""corn"", ""eggs"", ""cheddar cheese"", ""onion"", ""corn muffin"", ""margarine"", ""red""]"
Rhubarb Crumble,"[""Mix brown sugar, oats, flour, butter and cinnamon."", ""Press 1/2 of mixture into a 9-inch square pan."", ""Cover with rhubarb."", ""Mix sugar and cornstarch together."", ""Add water and vanilla."", ""Cook until thick and clear."", ""(Add 3 drops red coloring.)"", ""Pour over rhubarb. Sprinkle remaining brown sugar mixture on top."", ""Bake at 350\u00b0 for 1 hour."", ""Top with whipped cream or ice cream.""]","[""sugar"", ""vanilla"", ""rhubarb"", ""brown sugar"", ""cinnamon"", ""water"", ""flour"", ""cornstarch"", ""rolled oats"", ""butter""]"
Skillet Pineapple Upside-Down Cake,"[""Melt butter in skillet."", ""Spread brown sugar evenly over butter. Place 1 slice of pineapple in center of the skillet."", ""Arrange other slices around the center slice."", ""Place a cherry in center of each pineapple slice."", ""Cover with the following batter.""]","[""cake flour"", ""baking powder"", ""vanilla"", ""sugar"", ""brown sugar"", ""eggs"", ""maraschino cherries"", ""milk"", ""butter"", ""pineapple"", ""salt""]"
Kim'S Chicken Alfredo Pizza,"[""Make pizza crust according to directions. If you use a pizza stone, sprinkle with cornmeal before rolling out crust. Cover crust with sauce and all ingredients, ending with cheese. Bake at 450\u00b0 for 15 minutes.""]","[""jerk spice"", ""light alfredo sauce"", ""pepper"", ""chicken breasts"", ""mozzarella cheese"", ""onion"", ""green pepper"", ""parsley flakes"", ""cornmeal"", ""garlic"", ""jalapenos"", ""pizza crust""]"
Don Hill'S Lasagna,"[""Cook hamburger, onion and bell pepper until tender and meat is no longer pink."", ""Add garlic, spaghetti sauce, salt and pepper; set aside."", ""Cook egg noodles in pot until almost tender."", ""Layer casserole dish with half of noodles."", ""Spread half of sauce mixture over noodles."", ""Layer with half of each of the cheeses."", ""Repeat the layering:"", ""noodles, sauce, Mozzarella cheese and Cheddar cheese with Parmesan cheese on top."", ""Bake in oven until brown.""]","[""hearty wide egg noodles"", ""bell pepper"", ""mozzarella cheese"", ""parmesan cheese"", ""cheddar cheese"", ""onion"", ""spaghetti sauce"", ""garlic"", ""hamburger"", ""salt""]"
Layered Salad,"[""Layer first four ingredients in order shown."", ""Combine sugar, mayonnaise and cheese."", ""Put on top."", ""Refrigerate several hours and toss before serving.""]","[""head lettuce"", ""bacon"", ""sugar"", ""parmesan cheese"", ""mayonnaise"", ""cauliflower"", ""red onion""]"
Apple Cream Coffee Cake,"[""Heat oven to 375\u00b0."", ""Mix in separate bowl 1/2 sugar, cinnamon and walnuts."", ""In large bowl, mix soft butter or margarine and sugar."", ""Beat until light and fluffy."", ""Add eggs and blend well; add vanilla."", ""Sift together flour, baking powder, soda and salt."", ""Mix into creamed mixture alternately with sour cream."", ""Spread half mixture into greased 10-inch tube pan."", ""Add sliced apples all around."", ""Sprinkle with half cinnamon mixture."", ""Add rest of batter, then top with remaining cinnamon mixture."", ""Bake 45 minutes.""]","[""sour cream"", ""apple"", ""sugar"", ""vanilla"", ""baking powder"", ""eggs"", ""cinnamon"", ""baking soda"", ""flour"", ""walnuts"", ""butter"", ""salt""]"
Apple Crunch,"[""Mix apples with brown sugar in baking pan and set aside."", ""Mix flour, sugar, salt and cinnamon; set aside."", ""Beat egg."", ""Mix with flour mixture."", ""Spread over fruit."", ""Pour margarine over top."", ""Bake at 375\u00b0 for about 45 minutes until lightly browned."", ""Serve warm.""]","[""egg"", ""brown sugar"", ""cinnamon"", ""flour"", ""margarine"", ""apples"", ""white sugar"", ""salt""]"
Ambrosia,"[""Combine pineapple, oranges, grapes, marshmallows, coconut and nuts."", ""Mix together sour cream and sugar."", ""Stir sour cream mixture into fruit mixture."", ""Chill.""]","[""sour cream"", ""sugar"", ""marshmallows"", ""orange segments"", ""nuts"", ""grapes"", ""pineapple"", ""flaked coconut""]"
Chocolate Covered Cherries,"[""Cream butter."", ""Beat in marshmallow cream, salt and flavoring. Add confectioners sugar gradually, mixing well after each addition."", ""Turn onto waxed paper and knead well."", ""Refrigerate one hour."", ""Drain cherries."", ""Roll in fondant, covering completely. Chill balls in refrigerator."", ""Melt chocolate in double boiler. Dip chilled fondant into chocolate and place on waxed paper to set.""]","[""almond flavoring"", ""marshmallow cream"", ""maraschino cherries"", ""cake paraffin"", ""confectioners sugar"", ""chocolate chips"", ""butter"", ""salt""]"
Pork Medallions,"[""Combine olive oil and garlic in blender or food processor. Process, then add rosemary and whirl 1 minute more.""]","[""lean"", ""lemon juice"", ""black pepper"", ""rosemary"", ""garlic"", ""olive oil"", ""salt""]"
Coconut Kisses,"[""Preheat oven to 350\u00b0."", ""Beat egg whites at high speed until foamy."", ""Gradually add sugar, one tablespoon at a time, beating until stiff peaks form."", ""Fold in vanilla, cereal, coconut and nuts. Drop by tablespoon on a foil lined cookie sheet."", ""Place in oven and immediately turn off oven."", ""Do not open door for 8 hours. Carefully peel cookies from foil."", ""Store tightly sealed."", ""Yield:"", ""3 dozen.""]","[""sugar"", ""vanilla"", ""pecans"", ""egg whites"", ""cornflakes"", ""flaked coconut""]"
Lemon Chess Pie,"[""Combine sugar and eggs."", ""Toss together flour and cornmeal, then add to egg mixture."", ""Add milk gradually, then butter and lemon juice."", ""Pour into unbaked pie shell."", ""Bake for 45 minutes at 350\u00b0.""]","[""sugar"", ""lemon juice"", ""cornmeal"", ""eggs"", ""flour"", ""milk"", ""butter""]"
Oatmeal Chocolate Chip Cookies,"[""Beat margarine and sugar until creamy."", ""Add eggs, milk and vanilla and beat well."", ""Add flour, baking soda and salt."", ""Mix well. On ungreased cookie sheet, drop by tablespoonful."", ""Bake at 375\u00b0 for 10 to 12 minutes."", ""Cool one minute before removing from cookie sheet."", ""Cool completely on cooling rack.""]","[""sugar"", ""vanilla"", ""brown sugar"", ""eggs"", ""baking soda"", ""nuts"", ""flour"", ""milk"", ""oatmeal"", ""chocolate chips"", ""butter""]"
Dirty Pudding,"[""Crush cookies and place half of them in 9 x 13-inch pan."", ""Mix together Cool Whip, cream cheese and powdered sugar."", ""Mix pudding and milk in separate bowl. Combine both mixtures and pour over crumbs. Spread remaining crumbs over top. Refrigerate before serving.""]","[""cream cheese"", ""powdered sugar"", ""milk"", ""oreo cookies""]"
Pickled Bologna,"[""Boil ingredients together for 10 minutes."", ""Remove skin from 2 rings bologna--slice--pack in a glass jar.\tPour hot syrup over meat."", ""Put lid on jar and refrigerate."", ""Ready to use the next day. Can also use small party hotdogs.""]","[""pickling spice"", ""sugar"", ""salt"", ""white vinegar""]"
Nutty Oven Fried Chicken,"[""In shallow mixing dish, combine biscuit mix, pecans and seasoning."", ""Mix well."", ""Dip chicken in milk."", ""Coat generously with pecan mixture.""]","[""pecans"", ""buttermilk biscuit mix"", ""poultry seasoning"", ""margarine"", ""sage"", ""milk"", ""paprika"", ""chicken"", ""salt""]"
Wayne'S Cajun Bean Soup,"[""Cook potatoes, celery and onion until tender."", ""Add beans, tomatoes, soup, chili powder and smoked sausage."", ""Simmer and serve.""]","[""potatoes"", ""tomatoes"", ""chili powder"", ""onion"", ""northern beans"", ""tomato soup"", ""celery"", ""sausage""]"
Grandma'S Cheesecake(New York Style)  ,"[""Preheat oven to 350\u00b0."", ""Melt butter; add sugar and graham cracker crumbs."", ""Mix and line spring-form pan for crust."", ""Room temperature cream cheese; sour cream leave out several hours before mixing."", ""Beat cream cheese, sour cream, sugar, egg yolks and vanilla.""]","[""sour cream"", ""sugar"", ""vanilla"", ""graham cracker crumbs"", ""eggs"", ""cream cheese"", ""butter""]"
Preacher Cookies,"[""Put sugar, butter and milk in a heavy saucepan."", ""Bring to a boil and boil for 3 minutes while stirring constantly."", ""Remove from heat."", ""stir in cocoa, oats and vanilla."", ""Mix well. Drop by teaspoon onto waxed paper."", ""Cool 30 minutes."", ""Yields 3 dozen.""]","[""sugar"", ""vanilla"", ""oats"", ""powdered cocoa"", ""milk"", ""butter""]"
Punch Bowl Cake,"[""Make cake as directed in"", ""2 layers."", ""Make pudding as directed.""]","[""frozen coconut"", ""pecans"", ""vanilla pudding"", ""cherry pie filling"", ""pineapple"", ""yellow cake""]"
Sour Cream Apple Pie,"[""Heat oven to 350\u00b0."", ""Place pie shell on cookie sheet."", ""In medium bowl, combine sugar, flour, spices and salt."", ""With pastry blender or two knives, cut butter into sugar mixture until crumbly. Sprinkle 2 tablespoons on bottom of shell."", ""Arrange apple slices in overlapping rows in shell."", ""Sprinkle each row with a few drops of lemon juice and remaining sugar mixture."", ""(Apples will round slightly in pie shell.)"", ""Bake 25 minutes."", ""Spoon and spread sour cream over top."", ""Bake 15 minutes longer."", ""Makes 1 pie.""]","[""sour cream"", ""sugar"", ""shell"", ""green apples"", ""lemon juice"", ""ground nutmeg"", ""all-purpose"", ""ground cinnamon"", ""butter""]"
Meat Loaf,"[""Mix all ingredients thoroughly."", ""Spread in ungreased loaf pan, 9 x 5 x 3-inch."", ""Bake in 350\u00b0 oven for 1 1/2 hours.""]","[""ground round"", ""egg"", ""pepper"", ""onion"", ""whole wheat bread"", ""catsup"", ""milk"", ""worcestershire sauce"", ""salt""]"
Cumin Rice Dish,"[""Saute onion, pepper and rice in bacon fat until brown."", ""Add remaining ingredients and bring to a boil."", ""Turn heat down and simmer 30 to 40 minutes, covered.""]","[""cumin"", ""bell pepper"", ""onion"", ""rice"", ""bacon fat"", ""consomme"", ""worcestershire sauce"", ""salt""]"
Prune Punch Cake,"[""Grease and flour a 9 x 13-inch pan."", ""Mix all of the ingredients and pour into prepared pan."", ""Bake at 350\u00b0 until done. Remove cake from oven and top with 2 teaspoons sugar"", ""mixed with the juice of an orange to make 1/3 cup."", ""Put on top of cake while warm."", ""Mix sugar and cinnamon to sprinkle on top, if desired. Cool and cut into squares."", ""Serve with Cool Whip.""]","[""sugar"", ""crisco"", ""nutmeg"", ""eggs"", ""cinnamon"", ""soda"", ""flour"", ""prunes"", ""prune juice"", ""salt""]"
Danish Cake,"[""Mix"", ""shortening, sugar, eggs, flour, soda, salt, buttermilk, orange juice, nuts, dates, orange rind and vanilla."", ""Bake in a tube pan at 350\u00b0 for 1 1/4 hours."", ""When done, while still hot, pour sauce over cake.""]","[""buttermilk"", ""sugar"", ""vanilla"", ""shortening"", ""eggs"", ""soda"", ""flour"", ""nuts"", ""dates"", ""orange juice"", ""orange rind"", ""salt""]"
Sherried Beef,"[""Mix the onion soup mix, celery soup and sherry; pour over meat in large casserole or roasting pan."", ""Cover; bake at 325\u00b0 for 3 hours."", ""Stir occasionally."", ""Add water if needed."", ""Quick and easy!!""]","[""sherry"", ""onion soup"", ""cream of celery soup"", ""chuck cubes""]"
Hot Fruit Punch,"[""Combine all ingredients in glass bowl."", ""Microwave on High for 12 to 14 minutes or until hot, about 160\u00b0.""]","[""cinnamon"", ""water"", ""orange juice"", ""allspice"", ""cranberry juice cocktail""]"
French Potato Soup,"[""Peel and cut potatoes into bite size pieces."", ""In large pan, put enough water to first cover potatoes."", ""Cook until done."", ""Add milk, salt and pepper."", ""In small skillet, lightly saute onions in melted Parkay."", ""Add to potato mixture and simmer for about 20 minutes, stirring often.""]","[""onion"", ""parkay margarine"", ""red potatoes"", ""milk"", ""salt""]"
Walla-Walla Onion Pie,"[""Prepare and partially bake a crust to fit a 9-inch pie pan using a basic pie dough recipe."", ""Saute onions in oil and butter over low heat until golden yellow."", ""Beat together eggs, half and half, flour, salt, pepper and nutmeg, then add onions and half of the grated cheese. Pour into crust; sprinkle remaining cheese on top and bake at 375\u00b0 for 25 to 30 minutes or until golden brown. Garnish with parsley."", ""Serves 4.""]","[""pepper"", ""nutmeg"", ""eggs"", ""swiss cheese"", ""sweet onions"", ""flour"", ""parsley"", ""butter"", ""olive oil"", ""salt""]"
Coal Flowers,"[""Place a piece of coal in a clear glass bowl.""]","[""water"", ""blueing"", ""coal"", ""clear glass bowl"", ""coloring"", ""salt""]"
Raisin-Walnut Bread,"[""In small saucepan, bring raisins, soda and oil to a boil. Remove from heat and set aside to cool."", ""In large bowl, beat eggs, sugar and vanilla well."", ""Add cooled raisin mixture with flour and salt and egg mixture."", ""Stir until well mixed."", ""Bake in buttered 9 x 5 x 3-inch loaf pan at 350\u00b0 for 50 to 60 minutes or until it tests done.""]","[""oil"", ""sugar"", ""vanilla"", ""baking soda"", ""eggs"", ""water"", ""raisins"", ""flour"", ""walnuts"", ""salt""]"
Sausage Stars,"[""Preheat oven to 350\u00b0."", ""Blot sausage dry with paper towels. Combine with cheeses, salad dressing, olives and red peppers. Lightly grease a mini muffin tin and press 1 wrapper in each cup. Brush with oil."", ""Bake 5 minutes until golden."", ""Remove from tin. Place on a baking sheet and fill with sausage mixture."", ""Bake 5 minutes until bubbly."", ""Makes 4 to 5 dozen.""]","[""grated monterey"", ""red peppers"", ""cheddar cheese"", ""olives"", ""sausage"", ""vegetable oil"", ""wrappers""]"
Dijon Chicken,"[""Lightly sprinkle chicken with salt, pepper and garlic powder. Combine sour cream and mustard in a shallow dish, mixing well."", ""Dip each chicken breast into mustard mixture and dredge in breadcrumbs. Arrange chicken in single layer in baking pans."", ""Bake at 375\u00b0 for 50 minutes.""]","[""sour cream"", ""chicken breasts"", ""pepper"", ""parsley"", ""italian breadcrumbs"", ""garlic"", ""mustard"", ""salt""]"
Sweet Potato Or Pumpkin Cake,"[""Beat with spoon."", ""Sift dry ingredients."", ""Bake in Bundt pan 1 hour and 5 minutes at 325\u00b0 for pumpkin; 1 1/2 hours with potatoes or until done.""]","[""baking powder"", ""vanilla"", ""ginger"", ""nutmeg"", ""eggs"", ""brown sugar"", ""soda"", ""cinnamon"", ""pecans"", ""raisins"", ""flour"", ""sweet potatoes"", ""butter"", ""pineapple""]"
